id,image_name,prominent_color,color_category
1,611Sxz0yd9L._AC_SY879_-2.jpg,"(181, 157, 140)",Medium
2,61An8yGN2ZL._AC_SX679_.jpg,"(6, 19, 40)",Dark
3,611Sxz0yd9L._AC_SY879_.jpg,"(181, 157, 140)",Medium
4,61+-6N8GmYL._AC_SY879_.jpg,"(36, 36, 36)",Dark
5,61mzaAzQbxL._AC_SY879_.jpg,"(91, 99, 73)",Dark
6,61or5uEcd8L._AC_SY879_.jpg,"(25, 31, 51)",Dark
7,61t1ZscZOpL._AC_SY879_.jpg,"(169, 159, 162)",Medium
8,61dJm47BiPL._AC_SY879_.jpg,"(92, 91, 96)",Dark
9,61fF7ZDkOLL._AC_SY879_.jpg,"(43, 44, 56)",Dark
